Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.321589613793898
75% Corpus,2,0.01,0.31,0.3288482944595597
75% Corpus,2,0.01,0.61,0.31797271699194807
75% Corpus,2,0.01,0.9099999999999999,0.3094602768066206
75% Corpus,2,0.01,symmetric,0.3210414867768987
75% Corpus,2,0.31,0.01,0.3248334962070224
75% Corpus,2,0.31,0.31,0.31889092463671964
75% Corpus,2,0.31,0.61,0.330733630143138
75% Corpus,2,0.31,0.9099999999999999,0.32474590950096627
75% Corpus,2,0.31,symmetric,0.3308578717756521
75% Corpus,2,0.61,0.01,0.3383783794055318
75% Corpus,2,0.61,0.31,0.3203824569535902
75% Corpus,2,0.61,0.61,0.3208665753611665
75% Corpus,2,0.61,0.9099999999999999,0.3208665753611665
75% Corpus,2,0.61,symmetric,0.3288313684925857
75% Corpus,2,0.9099999999999999,0.01,0.34462831112490777
75% Corpus,2,0.9099999999999999,0.31,0.33837837940553184
75% Corpus,2,0.9099999999999999,0.61,0.3304632842999918
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3271612084410074
75% Corpus,2,0.9099999999999999,symmetric,0.33575008437181036
75% Corpus,2,symmetric,0.01,0.3383783794055318
75% Corpus,2,symmetric,0.31,0.31730119181652916
75% Corpus,2,symmetric,0.61,0.32782895337557383
75% Corpus,2,symmetric,0.9099999999999999,0.3283511557887494
75% Corpus,2,symmetric,symmetric,0.3173011918165292
75% Corpus,2,asymmetric,0.01,0.3598609285647457
75% Corpus,2,asymmetric,0.31,0.43273572575612973
75% Corpus,2,asymmetric,0.61,0.5706655627654602
75% Corpus,2,asymmetric,0.9099999999999999,0.6569795625503556
75% Corpus,2,asymmetric,symmetric,0.5309936637462127
75% Corpus,3,0.01,0.01,0.3625175800336668
75% Corpus,3,0.01,0.31,0.401765442069913
75% Corpus,3,0.01,0.61,0.413995775516448
75% Corpus,3,0.01,0.9099999999999999,0.3167834750273564
75% Corpus,3,0.01,symmetric,0.4007735372786328
75% Corpus,3,0.31,0.01,0.415132093780694
75% Corpus,3,0.31,0.31,0.3930997903062328
75% Corpus,3,0.31,0.61,0.3582723338731088
75% Corpus,3,0.31,0.9099999999999999,0.35524609870558166
75% Corpus,3,0.31,symmetric,0.37643375072304663
75% Corpus,3,0.61,0.01,0.37277242132822513
75% Corpus,3,0.61,0.31,0.35081142770736
75% Corpus,3,0.61,0.61,0.39654570872204314
75% Corpus,3,0.61,0.9099999999999999,0.3819514334116135
75% Corpus,3,0.61,symmetric,0.37613377132913106
75% Corpus,3,0.9099999999999999,0.01,0.37587826704702404
75% Corpus,3,0.9099999999999999,0.31,0.37641046611725465
75% Corpus,3,0.9099999999999999,0.61,0.38009795738040736
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.37151223268528505
75% Corpus,3,0.9099999999999999,symmetric,0.3764104661172547
75% Corpus,3,symmetric,0.01,0.36148265160607346
75% Corpus,3,symmetric,0.31,0.3951165697475629
75% Corpus,3,symmetric,0.61,0.3601728625230451
75% Corpus,3,symmetric,0.9099999999999999,0.35978997362741455
75% Corpus,3,symmetric,symmetric,0.3659960979352888
75% Corpus,3,asymmetric,0.01,0.404986363137032
75% Corpus,3,asymmetric,0.31,0.50042721558828
75% Corpus,3,asymmetric,0.61,0.46270956591513834
75% Corpus,3,asymmetric,0.9099999999999999,0.5393543701077833
75% Corpus,3,asymmetric,symmetric,0.4626028583219808
75% Corpus,4,0.01,0.01,0.3337405311768264
75% Corpus,4,0.01,0.31,0.3443038560410405
75% Corpus,4,0.01,0.61,0.3220964182646539
75% Corpus,4,0.01,0.9099999999999999,0.37938981313244274
75% Corpus,4,0.01,symmetric,0.34058105047475173
75% Corpus,4,0.31,0.01,0.3499191874559332
75% Corpus,4,0.31,0.31,0.3585284130181959
75% Corpus,4,0.31,0.61,0.3795145534315816
75% Corpus,4,0.31,0.9099999999999999,0.500344893070513
75% Corpus,4,0.31,symmetric,0.34380118118203856
75% Corpus,4,0.61,0.01,0.3646075879010123
75% Corpus,4,0.61,0.31,0.37034386299204053
75% Corpus,4,0.61,0.61,0.3729930809200266
